,Name,City,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Payment_Method
483,Julien_Binz,Ammerschwihr,88,108,Modern Cuisine,7.2828891,48.125491,33389229823.0,https://guide.michelin.com/en/grand-est/ammerschwihr/restaurant/julien-binz,https://restaurantjulienbinz.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
484,La_Ribaudière,Bourg-Charente,56,122,"Creative, Modern Cuisine",-0.22488,45.67357,33545813054.0,https://guide.michelin.com/en/nouvelle-aquitaine/bourg-charente/restaurant/la-ribaudiere,https://www.laribaudiere.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
485,L'Embrun,Brest,32,89,Modern Cuisine,-4.4914853,48.3902009,33298430852.0,https://guide.michelin.com/en/bretagne/brest/restaurant/l-embrun,https://www.lembrunrestaurant.fr/,1 MICHELIN Star,"Credit card / Debit card accepted,Mastercard credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card"
486,Sources,Lorient,27,88,Modern Cuisine,-3.3598826,47.7458562,33297787625.0,https://guide.michelin.com/en/bretagne/lorient/restaurant/sources,https://restaurant-sources.com/,1 MICHELIN Star,"Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
487,"Une_Table,_au_Sud",Marseille,39,168,Modern Cuisine,5.3735291,43.2962224,33491906353.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/une-table-au-sud,https://www.unetableausud.com/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Great view,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
488,Château_Blanchard,Chazelles-sur-Lyon,71,117,Modern Cuisine,4.3858639,45.6362194,33477542888.0,https://guide.michelin.com/en/auvergne-rhone-alpes/chazelles-sur-lyon/restaurant/chateau-blanchard,https://www.hotel-chateau-blanchard.com/,1 MICHELIN Star,"Air conditioning,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
489,L'Atlantide_1874_-_Maison_Guého,Nantes,45,130,Modern Cuisine,-1.5777426,47.2012378,33240732323.0,https://guide.michelin.com/en/pays-de-la-loire/nantes/restaurant/l-atlantide-1874-maison-gueho,https://www.atlantide1874.fr/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
490,L'Atelier_Alexandre_Bousquet,Biarritz,45,105,"Modern Cuisine, Creative",-1.5446149,43.4499578,33559411011.0,https://guide.michelin.com/en/nouvelle-aquitaine/biarritz/restaurant/l-atelier-alexandre-bousquet,https://latelier-alexandrebousquet.com/,1 MICHELIN Star,"American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
491,L'Évidence,Montbazon,39,120,"Creative, Modern Cuisine",0.7133543,47.2873108,33247386736.0,https://guide.michelin.com/en/centre-val-de-loire/montbazon/restaurant/l-evidence,http://www.restaurant-levidence.com/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
492,La_Meynardie,Salignac-Eyvigues,45,123,Modern Cuisine,1.3056798,44.9916513,33553288598.0,https://guide.michelin.com/en/nouvelle-aquitaine/salignac-eyvigues/restaurant/la-meynardie,https://www.domainedelameynardie.com/,1 MICHELIN Star,"Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Terrace,Visa credit card","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
